beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
-0.0013218243,0.028446473,-0.018810298,-0.0349551,-0.0059507126,-0.008129226,-0.001478733,0.006970585,-0.0023520351,0.0035662495
-0.011268208,0.024977628,-0.01682835,-0.029466974,-0.005414789,-0.0072567426,-0.001652363,0.0062140296,-0.0016949974,0.0022886384
-0.01730466,0.00528011,-0.009993312,0.0016293097,-0.0024266823,-0.0017228097,-0.0010367737,0.0035249253,0.0003549367,0.0007307299
0.0066457074,0.022329744,-0.012463973,-0.032615095,-0.003807823,-0.0066898013,-0.0010335955,0.0052312342,-0.0017712525,0.002832278
0.0064160135,0.00790625,-0.008869932,-0.010254841,-0.0017841433,-0.0036278376,-0.0010687922,0.0030943123,-0.0009504993,0.002025543
-0.0025938395,0.0051770443,-0.010422633,-0.015653333,-0.0026839604,-0.0042458326,-0.0010020437,0.003215872,-0.0013429864,0.00219236
-0.0056214724,0.0053074444,-0.01037991,-0.02055481,-0.0024262136,-0.003914287,-0.0008535036,0.0032136021,-0.0013630904,0.0016493355
-0.0023244414,0.0027376777,-0.003394031,-0.012167936,-0.0009253172,-0.0017579149,-0.00036312896,0.0014913392,-0.000545503,0.00037724094
-0.013238685,0.003171404,-0.0034483327,-0.013461074,-0.00031612825,-0.0016614805,-0.0007803255,0.0014438569,-0.00040102203,-6.2852865e-05
-0.019794898,0.006865033,-0.006056058,-0.023450742,-0.0014727317,-0.0030779094,-0.000863714,0.0022915003,-0.00080643606,0.00047433935
-0.01147818,0.013820478,-0.007562318,-0.031224238,-0.003082084,-0.0042216345,-0.00049733254,0.0033235832,-0.0013060924,0.0013076104
0.018276317,0.010486343,-0.004868171,-0.010003345,-0.0025495607,-0.0010491862,0.00020213309,0.0025068305,-0.00040779647,0.0010065231
0.028742282,0.009283793,-0.0080061825,0.0017596874,-0.0029955276,-0.00021707371,8.1869075e-06,0.0029979036,-0.00017506431,0.00095792906
0.019928364,0.01049588,-0.013770771,-0.0045939554,-0.0037737335,-0.0032799584,-0.0011399572,0.0040889806,-0.0010814935,0.002359993
0.019549703,0.002585818,-0.0063931635,0.0049159285,-0.0013305576,0.00019697181,-0.00063630834,0.0022082988,0.00057980826,0.00030917395
0.02053379,0.0029438315,0.0010795658,0.0049006846,-0.0006522471,0.0007536203,-0.00052975665,0.0007748134,0.0009895159,-0.0010064656
-0.010738457,0.016540375,-0.016016193,-0.031880125,-0.004185785,-0.0070977323,-0.0016888903,0.00508128,-0.0018986963,0.0018339248
-0.004630821,0.015795685,-0.009216291,-0.027521694,-0.0033834025,-0.0050853235,-0.00081462914,0.0036950735,-0.0010371329,0.0010187663
-0.010818901,0.0047927005,-0.0013835365,-0.0025350507,-0.00083222345,-0.00085946487,-0.00061422435,0.001203517,0.00071621954,-0.0002578327
-0.025519291,0.007224272,-0.0031647077,-0.014830703,-0.00078249036,-0.002342166,-0.0003957615,0.0015400231,-1.9497355e-05,0.00036775297
-0.034933254,0.012033527,-0.0045529557,-0.025114628,-0.00132124,-0.0037520952,-0.0005021976,0.0021145951,-0.0005287548,0.00093044946
-0.04947062,-0.007418032,-0.0012697987,0.011496703,0.0013333218,0.00079282466,-0.0009996234,-5.4891163e-05,0.0014025206,-0.0008423558
-0.043700844,0.004752701,-0.0053837905,-0.012482237,-0.00036511198,-0.0030944413,-0.0012825693,0.0018026356,-2.5007175e-05,0.00039735122
-0.048533447,0.0037805792,-0.015161966,-0.007599462,-0.001925373,-0.0033299248,-0.0011373702,0.003687764,-0.0006540499,0.0011975239
-0.026928457,0.010478185,-0.0036028,-0.016974377,-0.0010136575,-0.0034031952,-0.0011091346,0.001878788,-4.276808e-05,0.0004236037
-0.01358063,0.016837124,-0.0116646765,-0.015194999,-0.0035886066,-0.0056603304,-0.0015025855,0.004285638,-0.0014129318,0.00213995
-0.011390539,0.013549791,-0.013267943,-0.003952019,-0.003677119,-0.0042942115,-0.0014189574,0.004460839,-0.0009278775,0.0020840336
0.0002028253,0.025886573,-0.01949608,-0.019104093,-0.006181004,-0.0069385236,-0.0013866117,0.0068630674,-0.002270352,0.0032549195
0.0017599519,0.018624019,-0.012335804,-0.0024156906,-0.0048344107,-0.0042052716,-0.0013954802,0.0049345326,-0.0008895295,0.0015178625
